"Symbol","Description","Percentage Below 52 Week High","Price","Average Volume (10 Day)"
"AMRX","Amneal Pharmaceuticals Inc","3.96%","$11.64","2,104,700"
"MU","Micron Technology Inc","3.98%","$246.83","27,239,550"
"NWG","NatWest Group PLC","4.00%","$15.86","2,831,410"
"APA","APA Corp (US)","4.01%","$24.79","9,148,560"
"CNQ","Canadian Natural Resources Ltd","4.02%","$33.57","6,855,220"
"WFC","Wells Fargo & Co","4.05%","$85.05","15,239,950"
"BBVA","Banco Bilbao Vizcaya Argentaria SA","4.07%","$21.19","1,521,960"
"HWM","Howmet Aerospace Inc","4.09%","$203.29","2,025,160"
"JCI","Johnson Controls International PLC","4.09%","$118.72","5,877,880"
"MDU","MDU Resources Group Inc","4.09%","$20.61","3,009,220"
"ATI","ATI Inc","4.12%","$99.37","1,170,750"
"BCS","Barclays PLC","4.15%","$21.70","5,292,010"
"NEE","Nextera Energy Inc","4.17%","$83.88","8,890,560"
"HR","Healthcare Realty Trust Inc","4.22%","$18.17","3,513,630"
"RIO","Rio Tinto PLC","4.24%","$70.63","2,510,600"
"CX","Cemex SAB de CV","4.26%","$10.11","8,477,850"
"BKR","Baker Hughes Co","4.31%","$48.73","6,633,530"
"KO","Coca-Cola Co","4.33%","$71.16","15,453,490"
"AHR","American Healthcare REIT Inc","4.34%","$48.32","2,058,250"
"MT","ArcelorMittal SA","4.38%","$39.47","1,437,550"
"NU","Nu Holdings Ltd","4.41%","$15.82","37,266,140"
"BBIO","BridgeBio Pharma Inc","4.45%","$66.39","2,104,150"
"NI","NiSource Inc","4.46%","$42.88","4,057,050"
"AGNC","AGNC Investment Corp","4.50%","$10.15","21,762,360"
"GD","General Dynamics Corp","4.51%","$344.25","1,039,800"
"CADE","Cadence Bank","4.52%","$38.41","3,240,410"
"A","Agilent Technologies Inc","4.56%","$146.82","1,577,780"
"HTHT","H World Group Ltd","4.58%","$43.80","2,571,690"
"EFC","Ellington Financial Inc","4.58%","$13.74","1,319,950"
"CMI","Cummins Inc","4.59%","$462.61","1,003,310"
"KEYS","Keysight Technologies Inc","4.59%","$179.06","1,288,170"
"MS","Morgan Stanley","4.61%","$163.86","5,313,620"
"DTE","DTE Energy Co","4.65%","$137.10","1,961,840"
"FE","FirstEnergy Corp","4.69%","$45.94","3,973,830"
"INCY","Incyte Corp","4.69%","$104.15","2,752,660"
"BIIB","Biogen Inc","4.73%","$167.55","1,947,000"
"VLY","Valley National Bancorp","4.76%","$10.81","9,222,520"
"STT","State Street Corp","4.77%","$116.84","1,542,110"
"DB","Deutsche Bank AG","4.77%","$36.93","2,566,850"
"EXE","Expand Energy Corp","4.92%","$117.28","3,471,900"
"ROIV","Roivant Sciences Ltd","4.96%","$20.29","9,750,910"
"IVZ","Invesco Ltd","4.97%","$23.52","3,997,000"
